id,dataset,grade,problem,answer,operation,formula
nluds-0001,ASDiv,1-2,Seven red apples and two green apples are in the basket. How many apples are in the basket?,9 (apples),Addition,7+2=9
nluds-0002,ASDiv,1-2,Ellen has six more balls than Marin. Marin has nine balls. How many balls does Ellen have?,15 (balls),Addition,6+9=15
nluds-0003,ASDiv,1-2,Janet has nine oranges and Sharon has seven oranges. How many oranges do Janet and Sharon have together?,16 (oranges),Addition,9+7=16
nluds-0004,ASDiv,1-2,Allan brought two balloons and Jake brought four balloons to the park. How many balloons did Allan and Jake have in the park?,6 (balloons),Addition,2+4=6
nluds-0005,ASDiv,1-2,Adam has five more apples than Jackie. Jackie has nine apples. How many apples does Adam have?,14 (apples),Addition,5+9=14
nluds-0006,ASDiv,1-2,Brian has four more plums than Paul. Paul has seven plums. How many plums does Brian have?,11 (plums),Addition,4+7=11
nluds-0007,ASDiv,1-2,Sandra took six cups of coffee and Marcie took two cups of coffee. How many cups of coffee did Sandra and Marcie take in total?,8 (cups),Addition,2+6=8
nluds-0008,ASDiv,1-2,17 plums were in the basket. More plums were added to the basket. Now there are 21 plums. How many plums were added to the basket?,4 (plums),Subtraction,21-17=4
nluds-0009,ASDiv,1-2,14 red plums and four green plums are in the basket. How many plums are in the basket?,18 (plums),Addition,4+14=18
nluds-0010,ASDiv,1-2,Marin has nine apples and Donald has two apples. How many apples do Marin and Donald have together?,11 (apples),Addition,9+2=11
nluds-0011,ASDiv,1-2,46 apples were in the basket. 22 are red and the rest are green. How many apples are green?,24 (apples),Subtraction,46-22=24
nluds-0012,ASDiv,1-2,Five red peaches and 14 green peaches are in the basket. How many peaches are in the basket?,19 (peaches),Addition,5+14=19
nluds-0013,ASDiv,1-2,20 peaches are in the basket. 25 more peaches are put in the basket. How many peaches are in the basket now?,45 (peaches),Addition,20+25=45
nluds-0014,ASDiv,1-2,Two marbles are in the basket. Two marbles are taken out of the basket. How many marbles are in the basket now?,0 (marbles),Subtraction,2-2=0
nluds-0015,ASDiv,1-2,Eight balls were in the basket. Some of the balls were removed from the basket. Now there are six balls. How many balls were removed from the basket?,2 (balls),Subtraction,8-6=2
nluds-0016,ASDiv,1-2,Some oranges were in the basket. Five oranges were taken from the basket. Now there are three oranges. How many oranges were in the basket before some of the oranges were taken?,8 (oranges),Addition,5+3=8
